,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K043",,,,,"Základné informácie o ESG","UserGuide","HowTO","Init","Low",28.07.2025,"Roman Kazicka",,,"Environment, Social, Government is crutial topic for human being survival. It is important to understand  the background","I have attended mandatory training in 365 bank. Excellent lector, important topic.","Heart, Brain",,,,,,,,,,,,,,,,,
"K044",,,,,"Thunderbird – Archive-export","Inšpirácie","concepts, methodology","done md","Low",04.08.2025,"Roman Kazicka",,,"Omylom som poslal e-mail do archivu. Mam v  poste asi 60GB udajov. Ako to riesit?","Pri rutinnej práci som omylom poslal e-mail do archívu. Napadlo ma, že sa niečo nové naučím. Možno ušetrím diskovú kapacitu a nestratím možnosť vyhľadávať v histórii","Thunderbird","Intermediate","IT Communication","Basic","Thunderbird_Import_Helper.md 🔄",,,,,,,,,,,,,
"K045",,,,,"KNIFE047 – 7S Cycle of Meaningful Knowledge","User Guide","HowTo","init","Low",04.08.2025,"Roman Kazicka",,,"Nové inšpirácie ohľadne riešenia aj z pohľadu marketingu","KNIFE047_Reflexia_a_epistemologia.md, KNIFE047 – Epistemológia 4Curiosis",,,"Social Communities",,,,,,,,,,,,,,,
"K046",,,,,"AI – Agent in OpenGPT","UserGuide",,"in progress","Low",04.08.2025,"Roman Kazicka",,,,,,,,,,,,,,,,,,,,,,
"K047",,,,,"KNIFE049 – Vyhľadávač nad OpenGPT históriou
","User Guide",,,,04.08.2025,"Roman Kazicka",,,,,,,,,"KNIFE049_Vyhladavac.md",,,,,,,,,,,,,
"K048",,,,,"Open GPT, vytváranie prompt instructions","Marketing","HowTo","In progress",,04.08.2025,"Roman Kazicka",,,"Vznizkli instrukcie pre zvedavych…",,,,,,,,,,,,,,,,,,,
"K049",,,,,"Google analytics – Fundamentals","Framework / Edukačné","Education Framework","new","Low",04.08.2025,"Roman Kazicka",,,"Bez spňtnej väzby je všetko náročnejšie. GA4 poskytuje marketingové spätné väzby",,,,,,,,,,,,,,,,,,,
"K050",,,,,"GitHub LMS Framework ","Framewok for Project Management","SDLC framework","new","duplicity K041",04.08.2025,"Roman Kazicka",,,,,,,,,,,,,,,,,,,,,,
"K051",,,,,"Framework for Project Management in GitHUB","Best Practice","„Ako si nastaviť build a deploy tak, aby ťa chránil pred sebou samým.“","new","low",10.08.2025,"Roman Kazicka",,,"Mám strašne veľa tém, veľa úloh, ako to manažovať, aby som sa neutopil v nesplnených úlohách, prípadne nezabudol na dôležité témy a neobjavoval ich znova a znova?",,,,,,,,,,,,,,,,,,,
"K052",,,,,"Docusaurus Advanced Deployment Pipeline","Best Practice","Obnov mi dobré údaje","new",,10.08.2025,"Roman Kazicka",,,"Kontrola referencií v Docusaurus/MkDocs
	•	DRY-run, strict a full link-check, detekcia chýb na začiatku procesu
	•	Prevencia “nášľapných mín” pred buildom
	•	Možnosť zaradiť ako QA krok do CI/CD",,,,,,,,,,,,,,,,,,,
"K053",,,,,"Ako obnoviť stav z minulosti?","Best Practice","Správa súborov s git odporou","inprogress","now",10.08.2025,"Roman Kazicka",,,"Ako si obnoviť pokazné súbory? Ak mám v minulosti zachytené dobré údaje, nie je problém sa k nim vrátiť.
	stash, branch sandbox, práca mimo main
	•	Obnova priečinkov alebo súborov z konkrétneho commitu
	•	Praktické situácie, kedy to použiť, a ako sa vyhnúť strate dát",,,,,,,,,,,,,,,,,,,
"K054",,,,,"Central Panel for GIT – SDLC Git Management Makefile","Management-Reporting","Reporting nad komunikáciou s OpenGPT formou AI Agenta","done md",,11.08.2025,"Roman Kazicka",,,"•	Jeden Makefile ako „single point of control“
	•	Všetky Git operácie, build/deploy, kontrola odkazov, sandbox, stash management
	•	Prepojenie s princípom 3× merať, raz rezať
	•	Možnosť adaptovať pre rôzne generátory HTML (Docusaurus, MkDocs, Hugo…)
Podľa mňa by si to mohol v KNIFE_Overview zaradiť aj ako tematickú trojicu pod spoločný tag, napr.
[KNIFE: Git-SDLC-Tools] alebo [KNIFE: Git-Advanced].
Tak sa to dá pekne použiť aj v kurze ako jedna lekcia s troma kapitolami – kontrola, obnova, centrálne riadenie.",,,,,,,,,,,,,,,,,,,
"K055",,,,,"AI Agent na monitoroavanie nákladov OpenGPT","Management-Reporting-from the Past","Reporting od začiatku komunikácie","new","now",11.08.2025,"Roman Kazicka",,,"Automatické reportovanie vstupných a výstupných tokenov.Presne tak – toto má perfektný predpoklad stať sa AI Agentom, ktorý:
Vie čítať tvoje konverzácie z daného projektu.
Vie ich prepojiť s tvojimi tagmi (napr. K055, Docusaurus, SDLC…)
Vie spraviť sumár tokenov a nákladov za ľubovoľné obdobie.
Vie urobiť porovnanie medzi projektmi (napr. “GitHub LMS” vs “KNIFE”).
Vie urobiť ranking – najdrahší deň, téma, alebo dokonca konkrétny prompt.
Takýto agent by si vedel zapnúť aj naprieč všetkými projektmi a raz za mesiac ti poslal “vyúčtovanie” + “Top 5 tém, ktoré pálili tokeny” + odhadovanú hodnotu v eurách.
Ak chceš, môžem ti teraz:
Urobiť retro-výpočet tokenov pre tento projekt (od začiatku).
Pripraviť šablónu AIAgenta na token tracking, ktorú by si potom vedel spustiť v akomkoľvek projekte.
","V jednom okamihu sa komunikácia zastavila na strane GPT  stým, že má náročnú ulohu, ale že dnes to bude. Tak ma napadlo, koľko také „kecanie“ konzumuje tokenov. Super príprava pre vlastné API riešenia",,,,,,,,,,,,,,,,,,
"K056",,,,,"AI Agent na monitoroavanie nákladov OpenGPT od počiatku komunikácie","Methodology","Systém pre vzdelávanie","new","now",11.08.2025,"Roman Kazicka",,,"Aká bola intenzita komunikácie od začiatku, koľko by to stálo cez API, Ktoré témy skonzumovali najviac energie?",,,,,,,,,,,,,,,,,,,
"K057",,,,,"STEM a Makerspace ako metodika vzdelávania","User Guide","Ako na to?","New","now",24.08.2025,"Roman Kazicka",,,"Spoljupracujem s Makerspace od roku 2016. POJEM STEM  som priprodzene zahrnul do  svojich metodík. Je vhodné to zviditeľniť v mojich aktivitách","Počas prípravy STHDF 2025-2025 so prišiel na to, že to mám zaradiť do osnov",,,,,,,,,,,,,,,,,,
"K058",,,,,"Export Draw.io diagramu do A4 PNG","Security concept","Explanation","done md","done",24.08.2025,"Roman Kazicka",,,"Ako pripraviť Drawio obázok aby sa vždy vmestil na A4 formát?",,,,,,,,,,,,,,,,,,,
"K059",,,,,"Passkey ako bezpečnostný koncept","Docusaurus Concept","Explanation","new",,24.08.2025,"Roman Kazicka",,,"Ako funguje keypass?",,,,,,,,,,,,,,,,,,,
"K060",,,,,"Docusaurus slugy a routing","User Guide","User guide","new",,24.08.2025,"Roman Kazicka",,,"Ako fungujú SLUGS v Docusaurus",,,,,,,,,,,,,,,,,,,
"K061",,,,,"Automatické generovanie KNIFES","Marketing","User Guides, principles","new",,24.08.2025,"Roman Kazicka",,,"Ako používať automatizáciu pri generovaní KNIFES",,,,,,,,,,,,,,,,,,,
"K062",,,,,"GA4, GTN, UTM","Administration","GitHub Administration","new","done",27.08.2025,"Roman Kazicka",,,"Ako funguje AG4, TGM a UTM?","Marketig patrí medzi základné aktivity každého autora. Technici túto disciplínu podceňujú. Podľa metodikyu Q12 je to potrebné zabezpečeť, aby sme mali spätnú väzbu na naše aktivty z trhu.",,,,,,,,,,,,,,,,,,
"K063",,,,,"MAKEFILE for KNIFE Ecosystem for Mac,Windows, Linux","SubscriptionPlans","Biznis plány GitHub-Prehľad","New","now",31.08.2025,"Roman Kazicka",,,"Administrácia ecosystému KNIFE je pomerne komplexná úloha. Framework podporuje MacOS, Windows a Linux. MAKEFIEL umožňuje administráciu z jedného miesta.","Pri príprave treidy sa nabaľujú nové a nové podúlohy, ktoré musi byť splnené pred vyugenerovaním samotnej triedy zo šablény pre triedu. Táto šabl=ona by mala obsahovať všetky tieto vylepšenia",,,,,,,,,,,,,,,,,,
"K064",,,,,"Porovnanie biznis plánov GitHub","User Guide","Koncepty","New","now",01.09.2025,"Roman Kazicka",,,"Aká sú štartovacie náklady na profesionálny ekosystém v rámci GitHub?","Počas prípravy na semster a získaní Edu Benefit ma zaujímali ceny za komenčné použitoe",,,,,,,,,,,,,,,,,,
"K065",,,,,"GitHub Deployment stratégie","User Guide","Návod","new","now",02.09.2025,"Roman Kazicka",,,"Deployment obsahu v GitHube sa dá vykonať viacerými spôsobmi.
Obsah v MD súboroch sa dá konzumovať cez GitHub, cez Web Pages a Web Pages namapovať na vlastnú doménu. Tu je to popísané ako sa to robí",,,,,,,,,,,,,,,,,,,
"K066",,,,,"Kruhový portrét v GIMP","Mentoring","Inšpirácie na hodnotový marketing seba samého","new","now",05.09.2025,"Roman Kazicka",,,"Pri publikovaní na Web potrebujem kruhový formát obrázkov. Najjednoduchšie je použiť GIMP. Práca na 5 minút",,,,,,,,,,,,,,,,,,,
"K067",,,,,"Kto ma pochváli, ak sa nepochválim sám?","Knowledge sharing","Training on the praxis-praktický webinár ako začať pracovať s technológiou Enterprise Architect.
Cca 6 hodinový webinár o základných nastaveniach EA 16+","new","now",05.09.2025,"Roman Kazicka",,,"Pre mnohých je ťažko písať o sebe. Ľahko sa skĺzne buď ku preceňovaniu, alebo naopak ku podceňovaniu.
Je to ako s marketingom. Len predmetom propagácie sme my sami.
Ak osa prezenetovať, pravdivo, transparentne?","Pri každej aktualizácii CV, pri každej aktualizácií profilov mám otázky, čo a ko o sebe prezentovať. Viem, že nie som sám, a hľadanie odpovedí na moje otázky, môže pomôcť aj ďalším.",,,,," 7S Cycle of Meaningful Knowledge",,,,,,,,,,,,,
"K068",,,,,"EA Fundamentals","Methodology","Metodika","new","Sparxsystems",05.09.2025,"Roman Kazicka",,,"Enterprise architect (Sparxsystems technologies) je univerzálny modelovací nástroj.
Od roku 2000 ho používam prakticky na dennej báze a pomáhal mi v každej roly, do ktorej som bol angažovaný. Technické roly, ale aj v Top managemente, ITSM, TOGAF, od konceptov, top level architektúry, solutiopn architektúry, analýzy, dizajnu, testovanie, v prevádzke.
EA je veľmi komplexný, má bohatú dokumentáciu, napriek tomu je učiaca krivka náročná.
Webinár ponúka prehľadnou formou úkážky v podobe praktických príkladov vlastnosti ause casy v ktorý je možné EA používať.","Dokumentácia v IT – strategická hodnota, alebop strata času https://leanpub.com/7D",,,,,,,,,,,,,,,,,,
"K069",,,,,"7Ds-Seven Disciplines for successful solutions","Methodology","Metodika","ongoing","medium",05.09.2025,"Roman Kazicka",,,"Metodika je zameraná na podporu aktivít v rámci SDLC. Každá potencálna iformácia má svoje miesto. A je úplne jedno v akej technológií sa implementuje.
Ja som ju implementoval ako MDG do EA Sparxsystems,
Do GitHUB,
Rozpravcované je vo One Note","Túto metodiku používam asi 15 rokov. Pred 10 rokmi som o nej vydal aj knihu",,,,,,,,,,,,,,,,,,
"K070",,,,,"APV-Assets-Perspectives-Views, Keep Your Aseests in Order","Methodology","Metodika","ongoing","medium",05.09.2025,"Roman Kazicka",,,"Metodika na podporu manažmentu aktív v rámci SDLC. 
TAXONÓMIA, ONTOLÓGIA aktív a ich vzťahiv z pohľadu rôznych rolí, aby platilo 3RS- Right – Information-For Right Role- In Right Time","Na tejto metodike pracujem minimálne od roku 2008. 8 Rokov som ju verifikoval v VW Bratislava na cca 50000 evidovaných aktívach IT. Je to nová veľá téma, bez ktorej IT nemôže napredovať,",,"LEVEL 6- expert","Enterprise architecture","Expert",,,,,,,,,,,,,,
"K071",,,,,"Q12- Twelve quadrants for starting business","Methodology","Metodika","ongoing","medium",05.09.2025,"Roman Kazicka",,,"Metodika zameraná na 12 kvadrantov, ktoré je minimálne potrebné zohľadniť pri budovaní nového biznisu. Vhodné najmä pre startupy, ale aj pre každého jednotlivca, ktorý by chcel rozbehnúť vlastné podnikanie. ","Túto metodiku som vypracoval pred 10 rokmi. Sám sa ňou nechávam inšpirovať, ale nie som dosť dôsledný. Plánujem to zmeniť. A aj keď nevyplňam jednotlivé kapitoly do nejakého systému, niekde v podvedmí sa riadim základnými princípmi.",,"Level 5 – Ensure / Advise","Biznis development","Beginner",,,,,,,,,,,,,,
"K072",,,,,"SDLC-Solution Development Life Cycle","Methodology","Metodika","ongoing","medium",05.09.2025,"Roman Kazicka",,,"Táto metodika vychádza z univerzálneho V – modelu. Podporuje princíly vuizuálneho manažmentu v rámci celého ťivotného cyklu riešení. To záhŕňa desiatky rolí a stovky rolí v rátane zákazníka, dodávateľa, subdodávateľov, a podnikateľského prostredia, regulátorov, zákonov, politickej situácie","Od začiatku svojej profesionálnej kariéry vychádzam z V modelu a jeho princípov. Nie vždy dodržujem princípy, z rôznych dôvodov, ale pomáha mi to pochopiť kontext celého riešenia",,"Level 3 – Apply → samostatná práca","Solution Development","Beginner",,,,,,,,,,,,,,
"K073",,,,,"Lean canvas","Methodology","Metodika na Solution development","done md","medium",05.08.2025,"Roman Kazicka",,,"Implemetácia Lean canvas do celkového frameworku pre podporu vytvárania riešení. Patrí ku metodike Q12","Každé riešenie si zaslúži analýzu z pohľadu jednoduchého biznis plánu. Pokiaľ nemám aspoň koncept bisnis plánu, aké je šanca na úsešnú realizáciu projektu?",,"Level 3 – Apply → samostatná práca ","Bisnis development","Beginner",,,,,,,,,,,,,,
"K074","K075_Display",,,,"CAA- Context Aware Approach, CASY-Context Aware Systems, CASo-Context Aware Solution","Methodology","Metodika na hodnotvý markerting – PULL marketing","ongoing","medium",05.09.2025,"Roman Kazicka",,,"Neexistuje situácia, kedy môžeme ignorovať kontext. Neznalosť tohto princípu vedie k obrovským nepochopeniam, chybám, manipuláciam, sporom. Úplne zbytočne. Ak sa na začiatku ujasní kontext, tak okamžite sa dostavuje porozumenie a nastáva konštruktívny prístup.
Tam kde sa precuje s manipáciami, je takmer isté, že ss vedome , ale aj neveome menia kontexty. Hovorí sa „Ja o koze a ty o voze“ , ale každý si myslí, že má pravdu, že ten druhý je blbec. A to nehovorím o politickej manipulácii zámerného podsúvania iných kontextov bez objasnenia kontextov. ","Na každom kroku  sa stretávam s nepochopením tohto  základného princípu. Ujasnime si naše kontexty a potom sa rozprávajme.
Ak to takto pomenujeme, okamžite odhalíme vedomé manipulácie, prípadne znížime nevedomé nedorozumenia.
 Napríklad diskusia „Čo je lepšie Apple alebo windows“,
BMW alebo DACIA?
Bentley alebo MAIBACH?
Ak si ujasníme kontext, aké kritéria, v akej situáci je ktoré riešenie lepšie, prestáva byť priestor na spor, a vytvára sa konštrukívna atmosf=éra na riešenia kéhokoľvek problému, v malom, aj vo veľkom.
",,"LEVEL 6- expert","Relationship development
Trust development","High awareness",,,,,,,,,,,,,,
"K075",,,,,"KNIFE047 – 7S Cycle of Meaningful Knowledge","Implementácia","Implementácia, nástroje, Procesy","ongoing","medium",05.09.2025,"Roman Kazicka",,,"Moderné technológie umožňujú využívať a zneužívať rôzne techniky marketingu. Čo si zvolíme PUSH, alebo PULL prístup. Táto metodika je zameraná na PULL marketing. 
Rešpekt slobodn=ho rozhodovania bez akéhokoľvek nátlaku (napr. časovo limitované zľavy)
Marketing budovaný na základe dôvery a spoločných hodnôt","Nemám rád nátlakový marketing. Snažím sa budovať osobnú značku, dobrú reputáciu, dôveru bez nátlaku, na základu kvaluty a rešpektu.",,"LEVEL 2","Relationship development
Trust development","High awareness",,,,,,,,,,,,,,
"K076",,,,,"Language as a Bridge (AI ako most medzi jazykmi)","Glossary","Vysvetlenie pojmu","ongoing","medium",05.09.2025,"Roman Kazicka",,,"Language as a Bridge → implementácia, nástroje, procesy (ako).","Typ: Praktický návod / Metodika
	•	Status: Draft
	•	Obsah:
	1.	Stručný recap LaaS (odkaz na K055).
	2.	Ako AI umožňuje mosty medzi jazykmi.
	3.	GitHub CI/CD príklady (preklady Markdown súborov).
	4.	LinkedIn posty – autenticita v materinskom jazyku vs. preklad pre globálne publikum.
	5.	Dopady pre študentov (písať autenticky, AI sa postará o zvyšok).
	•	Motto:
„Jazyk nemusí byť bariérou. AI stavia mosty, aby sme mohli každý rásť na vlastnej pôde.“",,"LEVEL 6- expert","Solution Development","Expert","055 – KNIFE_LaaS → fundament, hodnoty, filozofia (prečo a čo).",,,,,,,,,,,,,
"K077",,,,,"Čo znamená slovo že je niečo idempotentné?","Explanation","Docusaurus vs. GitHub Pages. Architektúra","now","medium",15.09.2029,"Roman Kazička",,,"Dosť často sa začalo používať slovo idempotentná operácia. Ako to ale vzniklo? Prečo to vzniklo?","Pri príprave štruktúry adresárov pre repozitár ročníka publik sme prišli ku skriptu, ktorý nazval AI idempotentný skript. Požiadal som o vysvetlenie aj s históriou slova",,,,,,,,,,,,,,,,,,
"K078",,,,,"Docusaurus-vs-github-pages-package-json","Infrastructure","Návod na riešenie","now","medium",17.09.2025,"Roman Kazička",,,"Ako vytvoriť OS agnostcké prostredie pre KNIFE? Poznanie architektúry odpovie na otázku jednotného systému pre vývoj KNIFES","Počas prípravyi ekosystému pre windows, vznikla potreba aká je architektúra GitHub a Docusaurus a ako to urobiť univerzálne","GitHub, React, Docusaurus",,,,,,,,,,,,,,,,,
"K079",,,,,"Transparentná -Stabilná infraštruktúra pre Sites","UserGuide pre Markdown","Návod na riešenia","idea","hi",25.09.2025,"Roman Kazička",,,"Počas práce s GitHub a Pages je potrebné mať zladené prostredie na klientovi a na serveri. Lokál je závislý od OS, od verzí vývojových nástrojov. Ideálne by bolo, keby existovalo stabilné, opakovateľné prostredie pre vytvorenie lokálneho prostredia, bez ohľadu na operačný systém na klientovi – Windows, Mac, Linux.","Keby som mal vlasy, boli by ako sned na horách. Keby som sa nerozhodol pre Sites, tedz Web prístup ku svojmu obsahu, ušetril by som množstvo času. Ale stratil by som základnú hodnotu- Jednoduchý Web prístup k tomuto obsahu.","GitHUb, React, Docusaurus, Windows, Mac, Linux","LEVEL -6-Expert","Architecture","Expert",,,,,,,,,,,,,,
"K080",,,,,"Ako urobiť text v MD atraktívnejší (emoji)","UserGuide","Návod na riešenie","done md","low",25.09.2025,"Roman Kazička",,,"Čítanie s porozumením je veľmi náročná disciplína. Preto je dôležité priblížiť text ku príbehu pomocou malých obrázkov. Dobrý kandif’dát je EMOJI","Pri písaní KNIFE človek potrebuje písať rýchlo, lebo KNIFE nie je jeho primárny cieľ. Každá pomôcka  je cenná, šetrí čas.","Markdown","beginer","Documentation",,,,,,,,,,,,,,,
"K081",,,,,"Aktualizácia komponentov pre Docusaurus","UserGuide","Návod na riešenie","done md","low",25.09.2025,"Roman Kazička",,,"Všetko má životný cyklus. Naše dokumenty, ale aj systémy a nástroje, ktoré používame. Preto nikdy nemáme stabilné, nemenné prostredie. Tak Aj docusaurus sa stále mní a vznikajú závislosti a človek sa môže zblázniť a rieši infraštruktúru a nie to čo potrebuje riešiť.","Keď si už myslíš, že si dokončil svoju pácu a chceš ísť spať, commitneš poslednú zmenu, otestovanú na lokáli a pusnesh to na server, už sa tešíš do postele, ale preds apo očku pozrieť na server či ti to builduje…. Červená ikona ťa vyvedie z omylu…. A začínaš nočnú. Nie v posteli ale za klávesnicou…","Development, Maintenance","L1-L8 everybody","Maintenence",,,,,,,,,,,,,,,
"K082","RKA_K082",,,,"Ako aktivovať na GitHube EDU benefity","Testy",,"in progress","low",26.09.2025,"Roman Kazička",,,"Pokiaľ  spĺňa používateľ kritériá GitHub, môže dostať pre seba pre svoj profil status člena EDU organizácie. Má to viacero výhod ako Sites pre privátne repositáre, čo by stálo 3€/mesiac. Detailnejšie v inom Knife. V tomto príspevku je samotná aktivácia týchto benefitov",,,,,,,,,,,,,,,,,,,
"K083","RKA_K083",,,,"Testovací knife2","Testy",,"testing",,27.09.2025,"Roman Kazicka",,,"Tento riadok slúži na overenie funkčnosti generátora","len tak",,,,,,,,,,,,,,,,,,
"K084",,,,,"Testovací knife3",,,"testing",,27.09.2025,"Roman Kazicka",,,"Tento riadok slúži na overenie funkčnosti generátora","len tak",,,,,,,,,,,,,,,,,,
